timestamp,gasUsed,gasPrice,blockNumber
1727614415,0,7397102933,20856423
1727614427,0,7427078329,20856424
1727614451,0,18140093423,20856426
1727614475,0,44736061786,20856428
1727614499,0,7586824726,20856430
1727614499,0,6741120062,20856430
1727614523,0,28739768275,20856432
1727614535,0,7765090433,20856433
1727614559,0,7990082865,20856435
1727614559,0,24786563341,20856435
1727614571,0,7749125483,20856436
1727614607,0,29248898212,20856439
1727614619,0,22232377668,20856440
1727614631,0,7379040438,20856441
1727614643,0,8304416995,20856442
1727614679,0,7094606826,20856445
1727614799,0,6580809172,20856455
1727614799,0,8530809172,20856455
1727614823,0,7840255492,20856457
1727614847,0,7268195501,20856459
1727614847,0,24321906219,20856459
1727614895,0,33010635036,20856463
1727614907,0,8411087489,20856464
1727614919,0,8800000000,20856465
1727614979,0,9724961247,20856470
1727614979,0,48026064774,20856470
1727614991,0,9612829126,20856471
1727615003,0,10030029690,20856472
1727615039,0,10558156989,20856475
1727615111,0,8606559167,20856481
1727615123,0,32612294832,20856482
1727615135,0,12366129230,20856483
1727615159,0,9041689584,20856485
1727615171,0,10017078214,20856486
1727615183,0,10071053927,20856487
1727615195,0,10005307324,20856488
1727615195,0,11005307324,20856488
1727615219,0,8850527909,20856490
1727615231,0,9351038027,20856491
1727615243,0,9154785262,20856492
1727615243,0,10669452179,20856492
1727615267,0,9509518223,20856494
1727615291,0,130642213197,20856496
1727615291,0,9658376819,20856496
1727615303,0,87489858699,20856497
1727615339,0,12034104041,20856500
1727615339,0,11797524175,20856500
1727615375,0,15231555629,20856503
1727615411,0,13372093026,20856506
1727615435,0,21908377674,20856508
1727615447,0,25446633141,20856509
1727615459,0,10336581632,20856510
1727615483,0,12074735462,20856512
1727615495,0,11792000719,20856513
1727615495,0,13373845916,20856513
1727615555,0,64121211375,20856518
1727615591,0,11167418617,20856521
1727615615,0,15841335911,20856523
1727615627,0,12532958828,20856524
1727615663,0,18062603683,20856527
1727615687,0,83007897923,20856529
1727615747,0,12959810425,20856534
1727615783,0,30513305316,20856537
1727615807,0,41182431025,20856539
1727615879,0,14100546867,20856545
1727615903,0,35742428577,20856547
1727615927,0,15084076685,20856549
1727615987,0,41944675490,20856554
1727615999,0,13249317828,20856555
1727616011,0,12329962239,20856556
1727616023,0,29973574383,20856557
1727616035,0,12923973687,20856558
1727616155,0,13349454174,20856568
1727616179,0,11941555112,20856570
1727616203,0,12287862137,20856572
1727616203,0,12004793659,20856572
1727616203,0,12287862137,20856572
1727616227,0,12100000000,20856574
1727616227,0,24718073355,20856574
1727616311,0,13767584962,20856580
1727616323,0,15347566968,20856581
1727616335,0,14238412785,20856582
1727616347,0,14634720875,20856583
1727616359,0,15300000000,20856584
1727616371,0,15743399499,20856585
1727616419,0,15908781244,20856589
1727616419,0,15908781244,20856589
1727616491,0,15012027548,20856595
1727616515,0,14768792026,20856597
1727616527,0,13077677904,20856598
1727616611,0,12203362301,20856605
1727616659,0,13243117530,20856609
1727616659,0,13670475986,20856609
1727616683,0,13276665740,20856611
1727616695,0,11240075239,20856612
1727616719,0,13646604084,20856614
1727616719,0,16276283361,20856614
1727616815,0,13489788341,20856622
1727616887,0,11839107878,20856628
1727616899,0,13686370975,20856629
1727616959,0,13964932701,20856634
1727616995,0,15279801937,20856637
1727617019,0,14336590792,20856639
1727617031,0,14139730952,20856640
1727617055,0,14081034595,20856641
1727617163,0,11419844630,20856650
1727617223,0,11880963697,20856655
1727617235,0,13074026686,20856656
1727617247,0,10842001495,20856657
1727617247,0,12042001495,20856657
1727617247,0,12457560267,20856657
1727617295,0,42187624525,20856661
1727617319,0,14464703010,20856663
1727617331,0,14285057108,20856664
1727617379,0,12111783411,20856668
1727617427,0,32372735191,20856672
1727617439,0,13753094918,20856673
1727617535,0,16083984905,20856681
